time,x,y
13.6,1.847844997,1.100548984
13.65,1.519087188,0.804743358
13.7,1.140818035,0.533131837
13.75,0.728583952,0.297077927
13.8,0.300022129,0.105173508
13.85,-0.126072437,-0.037232978
13.9,-0.530759553,-0.128293105
13.95,-0.895986328,-0.169685102
14,-1.205578314,-0.166410459
14.05,-1.446130223,-0.126374979
14.1,-1.607743028,-0.059782421
14.15,-1.684563337,0.021619287
14.2,-1.675092767,0.105389932
14.25,-1.582248837,0.179291494
14.3,-1.41317383,0.232166992
14.35,-1.178803273,0.254746467
14.4,-0.89322008,0.240327459
14.45,-0.572833335,0.185285296
14.5,-0.235431082,0.089379234
14.55,0.100836005,-0.044166533
14.6,0.418479291,-0.208813728
14.65,0.70164414,-0.39508466
14.7,0.936971647,-0.591138416
14.75,1.114299602,-0.783513317
14.8,1.227162247,-0.957989667
14.85,1.273060913,-1.100518889
14.9,1.2534918,-1.198160615
14.95,1.173732142,-1.239968383
15,1.04240085,-1.217767391
15.05,0.870823462,-1.12677412
15.1,0.672243126,-0.96601713
15.15,0.460928543,-0.738530426
15.2,0.251235806,-0.451304702
15.25,0.056683531,-0.114996648
15.3,-0.11090061,0.256588539
15.35,-0.24210874,0.64721228
15.4,-0.330511985,1.039073857
15.45,-0.373016049,1.413786495
15.5,-0.369992199,1.753400317
15.55,-0.325177127,2.041411095
15.6,-0.245349847,2.263694299
15.65,-0.139807992,2.409308323
15.7,-0.019678595,2.471118481
15.75,0.102891042,2.446204174
15.8,0.215609208,2.336024627
15.85,0.306924948,2.146333207
15.9,0.366864531,1.886845521
15.95,0.387764284,1.570681312
16,0.36485146,1.213613874
16.05,0.296634403,0.833172209
16.1,0.18507541,0.447649967
16.15,0.035533499,0.07508065
16.2,-0.143521073,-0.267759608
16.25,-0.341004074,-0.566262343
16.3,-0.543896324,-0.808756359
16.35,-0.738062698,-0.9870917
16.4,-0.909160161,-1.097004671
16.45,-1.043577904,-1.13824417
16.5,-1.129350192,-1.114454323
16.55,-1.156983807,-1.032823463
16.6,-1.120146868,-0.903523773
16.65,-1.016174077,-0.738978688
16.7,-0.846354504,-0.553005531
16.75,-0.615981297,-0.359888297
16.8,-0.334157295,-0.173439419
16.85,-0.01336553,-0.006109659
16.9,0.331171816,0.131798152
16.95,0.682309343,0.232762683
17,1.021921602,0.292486054
17.05,1.331917849,0.310117537
17.1,1.595268072,0.288246338
17.15,1.796978979,0.232665498
17.2,1.92496148,0.151923447
17.25,1.970737505,0.056693243
17.3,1.929943612,-0.04099895
17.35,1.802600978,-0.128635715
17.4,1.593135446,-0.194104382
17.45,1.310146277,-0.226568902
17.5,0.965937453,-0.217260793
17.55,0.575839549,-0.160137529
17.6,0.157362804,-0.052365085
17.65,-0.270767991,0.105407504
17.7,-0.689639219,0.30900054
17.75,-1.081173809,0.550887624
